metric,input_PC1,input_PC2
mean_intensity,-0.10923884181619781,0.250174358834637
std_intensity,-0.08607431805017607,0.4678680943636754
dynamic_range_p99_p1,0.0074925940143513725,0.49461417860160806
robust_range_p95_p5,-0.07506813503893431,0.49603029231649554
entropy,0.017292395111738523,0.43453914780862957
laplacian_var,0.3743454680677157,0.05852242672419941
tenengrad,0.4115609195424904,0.11027396008172696
scharr_mean,0.3839008641111709,0.049726904850579734
edge_density_canny,0.35067049882156737,-0.032222169811706114
hf_residual_std,0.4258498892999673,0.07173659026790669
high_frequency_energy_ratio,0.3154729285157645,-0.08534178442558119
background_fraction,0.04947493919671114,0.07306336612912306
center_offset,-0.032562012148178776,-0.03462867343139431
border_artifact_score,0.3322976875717539,0.030589473180623328
